customer_id,month,name,age,occupation,annual_income,num_bank_accounts,num_of_loans,type_of_loans,delay_from_due_date,num_of_delayed_payments,changed_credit_limit,num_credit_inquiries,credit_mix,outstanding_debt,credit_utilization_ratio,credit_history_age,payment_of_min_amount,total_emi_per_month,amount_invested_monthly,payment_behaviour,monthly_balance,credit_score
CUS_0xd40,July,Aaron Maashoh,24,Scientist,19114.12,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",3,8.0,11,4.0,Good,809.98,22.54,22 Years and 7 Months,No,49.57,178.34,Low_spent_Small_value_payments,244.57,Good
CUS_0x21b1,July,Rick Rothackerj,28,Teacher,34847.84,2,1,Credit-Builder Loan,3,4.0,5,2.0,Good,605.03,31.13,27 Years and 1 Months,NM,18.82,70.1,High_spent_Medium_value_payments,464.88,Good
CUS_0x21b1,August,Rick Rothackerj,28,Teacher,34847.84,2,1,Credit-Builder Loan,3,4.0,5,2.0,Good,605.03,32.93,27 Years and 2 Months,No,18.82,218.9,Low_spent_Small_value_payments,356.08,Good
CUS_0x2dbc,July,Langep,35,Engineer,143162.64,1,3,"Auto Loan, Auto Loan, and Not Specified",8,6.0,7,3.0,Good,1303.01,38.07,18 Years and 3 Months,No,246.99,263.17,High_spent_Small_value_payments,968.56,Standard
CUS_0x2dbc,August,Langep,35,Engineer,143162.64,1,3,"Auto Loan, Auto Loan, and Not Specified",8,6.0,7,3.0,Good,1303.01,38.37,18 Years and 4 Months,No,246.99,10000.0,High_spent_Small_value_payments,895.49,Standard
CUS_0xb891,August,Jasond,55,Entrepreneur,30689.89,2,1,Not Specified,4,9.0,1,4.0,Good,632.46,27.33,17 Years and 10 Months,No,16.42,125.62,High_spent_Small_value_payments,379.22,Standard
CUS_0x284a,August,Nadiaq,34,Lawyer,131313.4,0,2,"Credit-Builder Loan, and Mortgage Loan",0,2.0,9,4.0,Good,352.16,29.19,31 Years and 2 Months,No,911.22,870.52,Low_spent_Medium_value_payments,396.11,Good
CUS_0x5407,July,Annk,31,Media_Manager,34081.38,8,3,"Not Specified, Auto Loan, and Student Loan",30,11.0,17,5.0,Standard,1704.18,38.44,15 Years and 1 Months,NM,70.48,55.46,High_spent_Small_value_payments,395.17,Standard
CUS_0x4157,August,Charlie Zhur,24,Doctor,114838.41,2,3,"Personal Loan, Debt Consolidation Loan, and Auto Loan",11,11.0,8,8.0,Good,1377.74,27.81,21 Years and 11 Months,No,226.89,254.57,High_spent_Large_value_payments,742.92,Standard
CUS_0xba08,July,Jamesj,45,Journalist,31370.8,1,2,"Not Specified, and Payday Loan",0,2.0,5,5.0,Good,421.43,22.76,26 Years and 11 Months,No,46.62,188.39,Low_spent_Small_value_payments,337.51,Good
CUS_0x3e45,July,Harriet McLeodd,36,Entrepreneur,54392.16,6,3,"Not Specified, Student Loan, and Personal Loan",10,8.0,5,7.0,Standard,179.22,35.11,27 Years and 4 Months,Yes,124.39,158.11,Low_spent_Large_value_payments,464.16,Standard
CUS_0x3e45,August,Harriet McLeodd,36,Entrepreneur,54392.16,6,3,"Not Specified, Student Loan, and Personal Loan",10,8.0,5,7.0,Standard,179.22,32.88,27 Years and 5 Months,Yes,124.39,495.12,Low_spent_Small_value_payments,147.16,Standard
CUS_0xff4,July,Poornimaf,37,Entrepreneur,25546.26,8,5,"Not Specified, Student Loan, Student Loan, Credit-Builder Loan, and Auto Loan",16,14.0,10,5.0,Standard,758.44,30.1,18 Years and 8 Months,Yes,101.33,130.3,Low_spent_Small_value_payments,299.96,Standard
CUS_0xff4,August,Poornimaf,37,Entrepreneur,25546.26,8,5,"Not Specified, Student Loan, Student Loan, Credit-Builder Loan, and Auto Loan",15,13.0,7,5.0,Standard,758.44,39.33,18 Years and 9 Months,Yes,101.33,189.82,Low_spent_Medium_value_payments,230.44,Standard
CUS_0x33d2,July,Chalmersa,31,Scientist,31993.78,6,2,"Payday Loan, and Home Equity Loan",8,16.0,6,1.0,Standard,818.22,29.5,17 Years and 4 Months,Yes,45.14,104.56,High_spent_Small_value_payments,404.52,Standard
CUS_0x33d2,August,Chalmersa,31,Scientist,31993.78,6,2,"Payday Loan, and Home Equity Loan",8,16.0,6,1.0,Standard,818.22,36.01,17 Years and 5 Months,Yes,45.14,97.59,Low_spent_Large_value_payments,421.49,Standard
CUS_0xfdb,August,Patrickg,46,Teacher,32284.62,6,6,"Credit-Builder Loan, Not Specified, Mortgage Loan, Payday Loan, Credit-Builder Loan, and Personal Loan",13,12.0,2,10.0,Standard,1283.37,27.93,7 Years and 0 Months,Yes,103.04,359.77,Low_spent_Small_value_payments,117.03,Standard
CUS_0x4100,August,Reema,32,Entrepreneur,19300.34,6,5,"Mortgage Loan, Debt Consolidation Loan, Payday Loan, Auto Loan, and Not Specified",53,19.0,9,8.0,Bad,2430.21,23.71,18 Years and 9 Months,Yes,49.57,118.19,Low_spent_Medium_value_payments,263.48,Standard
CUS_0xa16e,August,Lee Chyenz,42,Media_Manager,10183.02,7,5,"Credit-Builder Loan, Mortgage Loan, Mortgage Loan, Credit-Builder Loan, and Student Loan",48,21.0,7,6.0,Bad,1672.43,36.84,10 Years and 8 Months,Yes,37.59,71.12,Low_spent_Small_value_payments,288.75,Poor
CUS_0x5b48,August,McBrideq,32,Lawyer,12600.44,5,3,"Not Specified, Student Loan, and Student Loan",25,19.0,15,11.0,Standard,569.8,31.98,12 Years and 10 Months,Yes,26.06,66.37,Low_spent_Small_value_payments,275.77,Poor
CUS_0xa5f9,July,Rickt,35,Mechanic,57983.12,9,8,"Payday Loan, Not Specified, Credit-Builder Loan, Debt Consolidation Loan, Payday Loan, Not Specified, Student Loan, and Student Loan",49,21.0,7,1936.0,Bad,3532.83,24.63,12 Years and 8 Months,Yes,200.43,234.73,Low_spent_Medium_value_payments,316.93,Standard
CUS_0x3edc,July,Williamso,33,Accountant,43070.24,3,1,Debt Consolidation Loan,11,8.0,8,8.0,Standard,1233.1,34.72,19 Years and 8 Months,Yes,30.58,108.62,Low_spent_Large_value_payments,493.02,Standard
CUS_0xbffe,August,Dhanya Skariachano,41,Architect,6515990.0,6,3,"Payday Loan, Not Specified, and Auto Loan",25,12.0,4,2.0,Standard,400.07,23.18,30 Years and 10 Months,Yes,69.6,51.83,High_spent_Large_value_payments,339.57,Standard
CUS_0xb681,August,Sarahb,38,Manager,39641.54,10,6,"Auto Loan, Student Loan, Payday Loan, Payday Loan, Mortgage Loan, and Debt Consolidation Loan",61,13.0,-2,8.0,Bad,2258.73,34.85,9 Years and 3 Months,Yes,172.38,149.27,Low_spent_Large_value_payments,249.1,Poor
CUS_0x9a71,July,Mukhopadhyayc,55,Scientist,20186.02,1,2,"Auto Loan, and Home Equity Loan",5,6.0,6,4.0,Good,413.32,36.06,18 Years and 9 Months,No,5994.0,121.77,Low_spent_Small_value_payments,307.12,Standard
CUS_0x6048,August,Ayeshaz,44,Musician,18627.64,7,6,"Payday Loan, Not Specified, Student Loan, Credit-Builder Loan, Credit-Builder Loan, and Payday Loan",31,18.0,5,7.0,Bad,1793.54,38.79,19 Years and 4 Months,Yes,65.14,98.8,Low_spent_Small_value_payments,264.79,Poor
CUS_0x95b5,August,Lisa Baertleinu,-500,Engineer,12986.74,4,2,"Mortgage Loan, and Payday Loan",28,17.0,11,7.0,Standard,1489.49,32.26,9 Years and 3 Months,Yes,16.72,91.83,Low_spent_Small_value_payments,277.37,Standard
CUS_0x4004,July,Carlosj,44,Writer,58317.0,8,6,"Mortgage Loan, Personal Loan, Home Equity Loan, Personal Loan, Mortgage Loan, and Personal Loan",18,20.0,21,10.0,Standard,98.97,28.26,13 Years and 7 Months,Yes,149.9,380.59,Low_spent_Medium_value_payments,215.99,Standard
CUS_0xb101,August,Andreas Cremerf,37,Scientist,42171.98,2,3,"Auto Loan, Auto Loan, and Not Specified",4,10.0,2,4.0,Good,556.91,35.96,22 Years and 0 Months,No,102.76,145.4,High_spent_Medium_value_payments,378.27,Standard
CUS_0x9b94,August,Bri,36,Manager,71681.4,3,1,Not Specified,8,8.0,10,0.0,Standard,1293.02,38.23,26 Years and 2 Months,NM,53.92,295.81,Low_spent_Medium_value_payments,510.21,Good
